0,label
datasets/Oral_5_20/karan.p/4999_POPR0270.csv,0
datasets/Oral_5_20/karan.p/POPR0093.csv,0
datasets/Oral_5_20/karan.p/5000_POPR0271.csv,0
datasets/Oral_5_20/karan.p/5635_POPR0424.csv,1
datasets/Oral_5_20/karan.p/POPR0177.csv,0
datasets/Oral_5_20/karan.p/5656_POPR0444.csv,0
datasets/Oral_5_20/karan.p/POPR0213.csv,1
datasets/Oral_5_20/karan.p/5467_POPR0346.csv,0
datasets/Oral_5_20/karan.p/5452_POPR0330.csv,0
datasets/Oral_5_20/karan.p/5612_POPR0397.csv,0
datasets/Oral_5_20/karan.p/5659_POPR0445.csv,0
datasets/Oral_5_20/karan.p/POPR0184.csv,0
datasets/Oral_5_20/karan.p/5426_POPR0302.csv,0
datasets/Oral_5_20/karan.p/5070_POPR0284.csv,1
datasets/Oral_5_20/karan.p/POPR0164.csv,1
datasets/Oral_5_20/karan.p/POPR0053.csv,1
datasets/Oral_5_20/karan.p/POPR0086.csv,0
datasets/Oral_5_20/karan.p/POPR0120.csv,0
datasets/Oral_5_20/karan.p/POPR0149.csv,1
datasets/Oral_5_20/karan.p/5661_POPR0449.csv,1
datasets/Oral_5_20/karan.p/4990_POPR0264.csv,1
datasets/Oral_5_20/karan.p/5068_POPR0282.csv,0
datasets/Oral_5_20/karan.p/5073_POPR0287.csv,0
datasets/Oral_5_20/karan.p/POPR0061.csv,1
datasets/Oral_5_20/karan.p/POPR0081.csv,0
datasets/Oral_5_20/karan.p/5628_POPR0416.csv,0
datasets/Oral_5_20/karan.p/5447_POPR0323.csv,0
datasets/Oral_5_20/karan.p/POPR0188.csv,0
datasets/Oral_5_20/karan.p/4980_POPR0253.csv,1
datasets/Oral_5_20/karan.p/5597_POPR0412.csv,0
datasets/Oral_5_20/karan.p/POPR0146.csv,0
datasets/Oral_5_20/karan.p/POPR0197.csv,1
datasets/Oral_5_20/karan.p/POPR0029.csv,1
datasets/Oral_5_20/karan.p/POPR0162.csv,1
datasets/Oral_5_20/karan.p/POPR0096.csv,1
datasets/Oral_5_20/karan.p/4978_POPR0251.csv,0
datasets/Oral_5_20/karan.p/5565_POPR0349.csv,0
datasets/Oral_5_20/karan.p/5444_POPR0320.csv,0
datasets/Oral_5_20/karan.p/5594_POPR0378.csv,0
datasets/Oral_5_20/karan.p/5435_POPR0311.csv,1
datasets/Oral_5_20/karan.p/5002_POPR0273.csv,1
datasets/Oral_5_20/karan.p/POPR0132.csv,1
datasets/Oral_5_20/karan.p/POPR0030.csv,1
datasets/Oral_5_20/karan.p/POPR0220.csv,1
datasets/Oral_5_20/karan.p/5064_POPR0278.csv,1
datasets/Oral_5_20/karan.p/5630_POPR0418.csv,0
datasets/Oral_5_20/karan.p/4996_POPR0258.csv,1
datasets/Oral_5_20/karan.p/POPR0141.csv,0
datasets/Oral_5_20/karan.p/5688_POPR0420.csv,0
datasets/Oral_5_20/karan.p/5434_POPR0310.csv,1
datasets/Oral_5_20/karan.p/POPR0143.csv,1
datasets/Oral_5_20/karan.p/4972_POPR0246.csv,1
datasets/Oral_5_20/karan.p/5679_POPR0381.csv,0
datasets/Oral_5_20/karan.p/POPR0153.csv,1
datasets/Oral_5_20/karan.p/POPR0077.csv,0
datasets/Oral_5_20/karan.p/5639_POPR0428.csv,0
datasets/Oral_5_20/karan.p/POPR0236.csv,1
datasets/Oral_5_20/karan.p/5071_POPR0285.csv,1
datasets/Oral_5_20/karan.p/5433_POPR0309.csv,1
datasets/Oral_5_20/karan.p/POPR0219.csv,1
datasets/Oral_5_20/karan.p/5657_POPR0446.csv,0
datasets/Oral_5_20/karan.p/POPR0041.csv,0
datasets/Oral_5_20/karan.p/POPR0217.csv,1
datasets/Oral_5_20/karan.p/POPR0083.csv,0
datasets/Oral_5_20/karan.p/POPR0050.csv,1
datasets/Oral_5_20/karan.p/5940_POPR0465.csv,1
datasets/Oral_5_20/karan.p/POPR0134.csv,0
datasets/Oral_5_20/karan.p/POPR0185.csv,0
datasets/Oral_5_20/karan.p/POPR0147.csv,0
datasets/Oral_5_20/karan.p/4988_POPR0262.csv,0
datasets/Oral_5_20/karan.p/POPR0204.csv,1
datasets/Oral_5_20/karan.p/POPR0182.csv,0
datasets/Oral_5_20/karan.p/POPR0148.csv,0
datasets/Oral_5_20/karan.p/POPR0200.csv,0
datasets/Oral_5_20/karan.p/5590_POPR0374.csv,0
datasets/Oral_5_20/karan.p/5607_POPR0392.csv,0
datasets/Oral_5_20/karan.p/POPR0166.csv,1
datasets/Oral_5_20/karan.p/POPR0123.csv,1
datasets/Oral_5_20/karan.p/POPR0137.csv,1
